stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
CAC1LCAL,CAC1LCAL,Le Calvaire,75 Rue Anatole France 62470 Camblain-Châtelain,50.48145396460596,2.468555799211722,,,0,,1
BRU2BH16,BRU2BH16,Bodelot,925 bis Rue Louis Dussart 62700 Bruay-la-Buissière,50.47650937014436,2.5573855854896688,,,0,,1
OIG1MAVE,OIG1MAVE,Justice,54 Avenue John Kennedy 62590 Oignies,50.45919058010703,2.997412838517603,,,0,,0
WIN1LYV2,WIN1LYV2,Métallurgie,8 Rue de la Metallurgie 62410 Wingles,50.48944773749398,2.8540529923315376,,,0,,0
DOV1LPOU,DOV1LPOU,Mairie,2 bis Rue des Poulbots 62138 Douvrin,50.50834913024985,2.828248725685406,,,0,,0
AVI2MART,AVI2MART,Martel,224 Boulevard Henri Martel 62210 Avion,50.4044682830554,2.8122108491939506,,,0,,0
HAR2GMO1,HAR2GMO1,Grand Moulin,12 Rue du 11 Novembre 62440 Harnes,50.44830372327044,2.914137306709943,,,0,,0
CAC2LCAL,CAC2LCAL,Le Calvaire,68 Rue Anatole France 62470 Camblain-Châtelain,50.48153474069213,2.4685278886435977,,,0,,1
PER2RDBL,PER2RDBL,Blaringhem,36 Rue de Blaringhem 62550 Pernes,50.48683733613931,2.415427740035441,,,0,,0
CAL2CIME,CAL2CIME,Cimetière,77 Rue Auguste Delattre 62470 Calonne-Ricouart,50.4923503077264,2.488020842849397,,,0,,0
CAU1RCAR,CAU1RCAR,Rue Carré,2 Rue du Moulin 62150 Caucourt,50.399977840540494,2.570555018138653,,,0,,1
ANZ2PANI,ANZ2PANI,Passage à Niveau,228 Rue des Martyrs 62232 Annezin,50.52562510873548,2.6087864301553263,,,0,,0
MER2RSUL,MER2RSUL,Sulliger,49 Rue Jules Mousseron 62680 Méricourt,50.40310207473512,2.8840512425574,,,0,,1
CAR1ARAG,CAR1ARAG,Aragon,137 Rue Cyprien Quinet 62220 Carvin,50.49192090647592,2.978772459461491,,,0,,0
DIV2CARO,DIV2CARO,Caron,79 Rue des Frères Caron 62460 Divion,50.47133603621809,2.516509818841073,,,0,,1
GRE1MAIR,GRE1MAIR,Mairie,26 Place Pasteur 62160 Grenay,50.448828083195885,2.7366512359050943,,,0,,1
DIV2PISC,DIV2PISC,Piscine,47 bis Rue Louis Pasteur 62460 Divion,50.47091126299388,2.499315310020524,,,0,,0
LEN1RLON,LEN1RLON,Londres,15 Rue Winston Churchill 62300 Lens,50.443446104186414,2.834765556780352,,,0,,0
CAR1R200,CAR1R200,Plachez,72 Rue Edouard Plachez 62220 Carvin,50.491168255604144,2.955767952085268,,,0,,0
CAT1RDBO,CAT1RDBO,Rue du Bois,93 a Route Nationale 62260 Cauchy-à-la-Tour,50.51278669682221,2.4462387911033128,,,0,,1
LEF1RDPO,LEF1RDPO,Potrie,1 Rue Florent Evrard 62790 Leforest,50.440045242448434,3.0684924826700546,,,0,,0
VEN1PSAL,VEN1PSAL,Salengro,6 Place Roger Salengro 62880 Vendin-le-Vieil,50.47325414590692,2.8665251743088374,,,0,,1
COC1CIME,COC1CIME,Cimetière,29 Rue Louis Blanc 62970 Courcelles-lès-Lens,50.41727312031058,3.021550291050601,,,0,,0
SAL1HDVS,SAL1HDVS,Hôtel de Ville,8 Rue des Mésanges 62430 Sallaumines,50.4207424149132,2.85932874670396,,,0,,1
GRE1PLAI,GRE1PLAI,La Plaine,5 Boulevard de la Plaine 62160 Grenay,50.44718527323022,2.755818539376932,,,0,,1
NOE2RGOH,NOE2RGOH,Rés. Gohelle,7 Boulevard Siméon Agniel 62290 Nœux-les-Mines,50.47615037354389,2.6694809618379023,,,0,,0
BRU2PDGU,BRU2PDGU,Centre Cial.,1004 Avenue de la Liberation (La Bussière) 62700 Bruay-la-Buissière,50.49295877949783,2.5698062140636244,,,0,,0
LEN1GA09,LEN1GA09,Gares - Quai 9,81 Rue Jean Letienne 62300 Lens,50.42744532375238,2.8265023966940817,,,0,,1
BAR2FREN,BAR2FREN,Fresnicourt,51 Rue de Fresnicourt 62620 Barlin,50.4542288046208,2.6163964972650944,,,0,,0
CAL2G4CH,CAL2G4CH,Rue d'Ourton,33 e Chaussée Brunehaut 62470 Camblain-Châtelain,50.481058881301024,2.4770053531511995,,,0,,0
DRM1CDBO,DRM1CDBO,Coin du Bois,38 Rue de Barlin 62131 Drouvin-le-Marais,50.49717621731322,2.6285490577872554,,,0,,0
NOG2ACAC,NOG2ACAC,Acacias,84 Rue Jules Ferry 62950 Noyelles-Godault,50.422168711277386,3.000914846859599,,,0,,1
CAR1TRIB,CAR1TRIB,Triboulette,165 Route de Meurchin 62220 Carvin,50.49826494858941,2.944968335388874,,,0,,1
AVI2BAS2,AVI2BAS2,Rue Helle,11 Rue Condorcet 62210 Avion,50.40698605226508,2.8357944326367983,,,0,,1
COU1CENT,COU1CENT,Route d'Harnes,307 Route d’Harnes 62710 Courrières,50.44608954361288,2.9213202474661872,,,0,,0
FOU1CAR2,FOU1CAR2,Carnot,61 Rue du Général Leclerc 62740 Fouquières-lès-Lens,50.42211332881596,2.898485538589631,,,0,,0
HEN1BH01,HEN1BH01,Mairie - Quai 1,25 Rue des Girondins 62110 Hénin-Beaumont,50.418636750629766,2.946504463246252,,,0,,1
BRU2CHAM,BRU2CHAM,Champagne,148 Rue de Champagne 62700 Bruay-la-Buissière,50.47707037330914,2.549570802581801,,,0,,0
BEU2JBAI,BEU2JBAI,Bailleul,1109 Rue Jacques Morat 62660 Beuvry,50.5379633462394,2.6924422006226405,,,0,,0
NOE2MAIS,NOE2MAIS,Maistre,37 Rue Béharelle 62290 Nœux-les-Mines,50.46588605919258,2.6662642831462424,,,0,,0
MAR2SIRR,MAR2SIRR,Sirocco,1 Allee du Simoun 62540 Marles-les-Mines,50.50934194530281,2.5024502825271004,,,0,,1
OUR1DELA,OUR1DELA,Rue de la Comté,1086 Rue Alphonse Deladiennee 62460 Ourton,50.45302204171559,2.4764494781894446,,,0,,1
CAR1NONE,CAR1NONE,Nonettes,53 Rue Saint Paul 62220 Carvin,50.472990953942045,2.924585868341665,,,0,,0
HAR2SAUL,HAR2SAUL,Les Saules,57 Avenue des Saules 62440 Harnes,50.44517454399438,2.91366575329025,,,0,,1
BRU2LIBE,BRU2LIBE,Libération,2219 Avenue de la Liberation (La Bussière) 62700 Bruay-la-Buissière,50.49925987949391,2.58215728175035,,,0,,0
ALL2MAIR,ALL2MAIR,Mairie,2 Rue du Général de Gaulle 62157 Allouagne,50.53080230840417,2.50839025092294,,,0,,0
LOO2GMON,LOO2GMON,Grand Mont,35 Route de Béthune 62750 Loos-en-Gohelle,50.4462211008997,2.797205679792554,,,0,,0
DIV2BRUN,DIV2BRUN,Eugène Ionesco,63 Chaussée Brunehaut 62460 Divion,50.47151444618654,2.490699575332409,,,0,,1
MER1DESN,MER1DESN,Flöha,1 Rue Jean Létienne 62680 Méricourt,50.40507933768136,2.860626107759976,,,0,,0
LEN1JBLE,LEN1JBLE,Eugène Thomas,27 ter Rue de Londres 62300 Lens,50.43405226623058,2.82797158085764,,,0,,0
VAU1MAIR,VAU1MAIR,Mairie,404 Rue de Béthune 62131 Vaudricourt,50.50257580564932,2.625302824354241,,,0,,0
LIE1ACCO,LIE1ACCO,Accordéonneux,161 Rue Germain Delbecque 62750 Loos-en-Gohelle,50.43799112597763,2.770633817291091,,,0,,0
CHO1BOUD,CHO1BOUD,Le Boudou,445 Rue de Lillers 62920 Chocques,50.5411645913495,2.563695001058006,,,0,,0
VEM2RDMO,VEM2RDMO,Montpellier,34 Rue Montpellier 62980 Vermelles,50.48958978782068,2.741659018296288,,,0,,0
HAI1FAUV,HAI1FAUV,Fauvettes,85 Rue des Rossignols 62940 Haillicourt,50.48082738323153,2.5888586732090384,,,0,,0
AUC1GROU,AUC1GROU,Briquet,41 Rue Raoul Briquet 62260 Auchel,50.50798848505307,2.471931380096269,,,0,,1
HEN2TEPO,HEN2TEPO,Pommier,532 Boulevard Eugène Thomas 62110 Hénin-Beaumont,50.39609700550303,2.973028761170144,,,0,,0
GOS1LIBE,GOS1LIBE,Salle des Fêtes,Place de la Libération 62199 Gosnay,50.50745116995945,2.5865162792661307,,,0,,1
VEB1MAIR,VEB1MAIR,Mairie,115 Rue François Mitterrand 62232 Vendin-lès-Béthune,50.54209611471422,2.6088616397220483,,,0,,1
